Identifiant_Client,Marque,Usage,CSP,Puissance,Valeur,Zone_tarif,Statut_marital,Année_permis,Mode_garage,Age,Ancienneté_véhicule,Ancienneté_contrat,Type_assurance,Sinistre
1000758,Peugeot,Privé & Professionnel,Ouvriers (O),6,6,3,Marié,1985,Non,53,16,8,Tous risques,Aucun accident
1000980,Citroën,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,8,1,Marié,1990,Oui,41,13,13,Tous risques,Aucun accident
1001134,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,7,9,Marié,2000,Oui,30,8,4,Tous risques,Accident
1001267,Renault,Privé & trajet travail,Employés (E),9,8,8,Marié,1981,Oui,53,11,5,Tous risques sérénité,Aucun accident
1003548,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,5,5,Marié,1995,Oui,36,5,5,Tous risques sérénité,Aucun accident
1003584,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),3,2,5,Célibataire,1997,Non,35,9,11,Tous risques sérénité,Accident
1003585,Saab,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,8,5,Célibataire,1996,Non,34,8,9,Tous risques,Aucun accident
1004401,Chrysler,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),6,9,4,Inconnu, ,Oui, ,19,8,Tous risques sérénité,Aucun accident
1005877,Renault,Privé & Professionnel,Professions intermédiaires (PI),9,12,5,Marié,1982,Oui,50,13,5,Tiers,Aucun accident
1006037,Mercedes-Benz,Privé,Professions intermédiaires (PI),5,5,4,Célibataire,2006,Oui,25,8,6,Tous risques,Aucun accident
1006384,Renault,Privé & trajet travail,Employés (E),10,10,3,Marié,1983,Oui,50,10,5,Tous risques,Aucun accident
1006675,Saab,Privé & trajet travail,Autres personnes sans activité professionnelle (APSAP),8,9,8,Célibataire,2005,Non,28,13,6,Tous risques,Accident
1007010,Renault,Privé & trajet travail,"Artisans, commerçants et chefs d’entreprise (ACCE)",10,14,7,Inconnu, ,Oui, ,4,4,Tous risques,Accident
1007042,Peugeot,Privé,Professions intermédiaires (PI),6,5,9,Célibataire,2002,Non,26,11,8,Tous risques sérénité,Aucun accident
1007538,Renault,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),7,6,3,Marié,1987,Oui,44,4,14,Tiers,Aucun accident
1008094,Renault,Privé & trajet travail,Employés (E),7,7,2,Marié,1967,Non,76,9,28,Tous risques sérénité,Aucun accident
1008889,Alfa Romeo,Privé,Cadres et professions intellectuelles supérieures (CPIS),8,11,7,Marié,1995,Oui, ,15,6,Tiers,Accident
1009969,Volkswagen,Privé & trajet travail,Employés (E),6,7,7,Marié,1989,Oui,44,10,18,Tous risques,Aucun accident
1010805,Audi,Privé & Professionnel,Agriculteurs exploitants (AE),11,13,3,Célibataire,1996,Oui,37,11,5,Tiers,Aucun accident
1011118,Peugeot,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),8,7,3,Marié,2000,Non,31,5,6,Tous risques,Accident
1011717,Audi,Privé,Cadres et professions intellectuelles supérieures (CPIS),8,12,5,Inconnu,1991,Non,42,17,4,Tous risques sérénité,Accident
1012379,Ford,Privé & trajet travail,Cadres et professions intellectuelles supérieures (CPIS),5,4,8,Marié,1992,Oui,39,10,6,Tous risques,Accident
1012885,Peugeot,Privé & trajet travail,Employés (E),5,4,6,Marié,1989,Non,44,19,4,Tous risques sérénité,Aucun accident
1012975,Peugeot,Privé,Cadres et professions intellectuelles supérieures (CPIS),6,5,5,Marié,1999,Non,37,10,4,Tous risques,Aucun accident
