ID|Comments|CHURN
1309|Does not like the way the phone works. It is to difficult compared to his last phone.|Current
3556|Wanted to know the nearest store location. Wants to buy aditional accessories.|Current
2230|Wants to know how to do text messaging. Referred him to website.|Current
2312|Asked how to disable call waiting. referred him to web site.|Vol
3327|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
1480|Called about new plan. Might switch soon. Wants more minutes.|Current
3789|Wanted to know the nearest store location. Wants to buy additional access-ories.|Current
1060|Said his battery never has worked well. Wants a new phone ASAP.|Vol
1854|He claimed that the charger never really worked very well. As a result the phone was always dying on him. He could not wait to get out of his current contract.|Vol
1745|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
841|Said his battery never has worked well. Wants a new phone ASAP.|Vol
2601|Said his batery never has worked well. Wants a new phone ASAP.|Current
2222|Asked about how to change his ring tones. Referred him to web site.|Vol
1557|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
2944|Lost the directions to phone and wants another manual. I referred him to web site.|Current
2820|Asked how to disable call waiting. referred him to web site.|Current
3186|Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.|Vol
3721|He expected significantly better Technical Support.|Vol
1802|He asked us to please take him off the outbound call list. In addition wants to change rate plan at the end of the year.|Vol
375|Wanted more information on the family plan. Also asked about how he could use call screening.|Current
3264|Called about new plan. Might switch soon. Wants more minutes.|Current
3707|Wants to know how to do text messaging. Referred him to web site.|Current
1064|Said his battery never has worked well. Wants a new phone ASAP.|Vol
930|Wants a new faceplate.|Current
3315|Asked about how to change his ring tones. Referred him to web site.|Vol
2901|Wants to get an additional line working by the end of the week. Forwarded him on to customer care.|Current
2464|Wants to know how to do text messaging. Referred him to web site.|Vol
191|Hopes to get an additonal line working by the end of the week for his wife.|Vol
1460|Wants to know how to do text messaging. Referred him to web site.|Current
3179|I wished the handset was bigger. It is uncomfortable using the handset for a long time.|Vol
2317|Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.|Current
3771|Really is unhappy with the website. Claims the self service stuff does not work. In addition thinks he phone does not work well.|Current
2491|Asked about how to change his ring tones. Referred him to web site.|Vol
956|Wants to change rate plans to get family all on same bill. I transferred him to customer care.|Vol
3135|Wanted to know the nearest store location. Wants to buy additional accessories.|Current
3236|Wants a new faceplate.|Current
976|Wants an address change.|Current
2870|He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.|Current
2329|Can't get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.|Vol
