EquipmentID,DaysinService,OpVoltage,OpAmperage,OpTemperature,MonthofManufacture,DaysfromLastService,DaystoNextService,DaysfromLastRepair,Defect
MOTOR_156,13.656985,220.708362,26.606995,78.886306,200805,13.656985,24.475128,37.295898,1
MOTOR_220,22.038240,227.465803,22.904947,79.205080,200805,22.038240,28.255933,22.038240,1
MOTOR_269,29.935280,227.302124,29.505985,80.520063,200805,14.883217,24.472168,75.984675,1
MOTOR_333,39.994252,229.203326,22.679009,78.659089,200805,18.214816,30.168918,80.118555,1
MOTOR_343,41.249533,227.714555,28.223533,78.075518,200805,1.500127,31.432505,29.048093,1
MOTOR_391,47.637330,225.018365,20.769800,80.490048,201003,20.738146,26.976852,88.878967,1
MOTOR_463,60.304999,226.077599,26.169985,79.978911,200702,17.697108,7.645431,84.908905,1
MOTOR_512,67.915195,228.667894,27.310798,80.170656,200805,10.067101,15.670328,43.563653,1
MOTOR_526,69.941754,223.900951,20.761627,78.569510,200805,11.825441,33.803133,39.990662,1
MOTOR_556,74.832017,221.483286,21.949563,79.072512,200805,19.031319,20.756215,91.185267,1
MOTOR_574,77.257591,222.141352,21.461685,78.102909,200911,20.865630,16.451686,20.865630,1
MOTOR_595,79.792529,225.454882,25.447059,80.215383,200804,27.009998,18.316961,45.285400,1
MOTOR_617,83.044850,226.448611,28.242946,78.439704,200805,22.697473,31.388179,84.793467,1
MOTOR_630,85.968989,228.630495,20.616961,80.080265,200805,29.734579,20.927223,54.543532,1
MOTOR_636,86.568404,222.315735,28.727613,79.318786,200805,7.730940,28.171759,65.277843,1
MOTOR_648,88.378567,229.306661,20.731442,80.389281,200805,13.773541,31.354748,41.617320,1
MOTOR_666,90.831899,229.455561,26.474807,79.241534,201002,4.510149,27.522199,36.053288,1
MOTOR_667,90.962882,225.322522,29.188475,79.014836,200805,7.775999,27.511416,89.451822,1
MOTOR_672,91.814164,229.285978,26.386690,80.058510,200805,20.848848,31.725759,20.848848,1
MOTOR_680,93.468226,223.839116,28.636247,79.136614,200805,5.746350,23.340278,14.711153,1
MOTOR_700,96.621475,221.013090,27.869929,78.862493,200805,7.055771,22.521934,95.930532,1
MOTOR_723,100.359231,227.154426,28.516251,78.681876,200805,24.583460,8.260550,67.052194,1
MOTOR_738,102.328176,227.535873,29.300046,80.674275,200805,7.839489,29.101623,13.681855,1
MOTOR_748,103.935082,229.572174,20.095638,78.825889,200805,26.628082,11.860271,38.261124,1
MOTOR_755,105.373604,221.223082,25.712949,78.990527,200805,5.531045,28.913618,70.785638,1
MOTOR_756,105.586924,222.686158,27.843089,79.557165,200805,29.162008,19.543176,90.641392,1
MOTOR_767,107.972114,229.519347,25.897463,79.699399,200908,1.819870,15.696307,35.907852,1
MOTOR_770,108.141800,220.327301,22.656690,79.565196,200810,10.058786,17.478621,10.058786,1
MOTOR_780,110.022125,227.602344,20.701255,78.830154,200805,27.150466,36.762149,81.481321,1
MOTOR_791,111.113234,224.883347,21.812218,79.121861,200805,4.504869,29.865504,54.790278,1
MOTOR_794,111.520150,229.089411,27.672943,78.200761,200805,2.330308,17.888300,85.604817,1
MOTOR_800,112.343653,225.848607,27.160263,78.023239,200908,1.575725,19.421252,25.023339,1
MOTOR_806,113.076208,221.091845,21.843485,79.179881,200805,0.897322,35.307050,93.714516,1
MOTOR_817,114.274275,226.913073,25.743436,79.091119,200805,27.542378,27.166484,47.934463,1
MOTOR_826,116.951992,221.213612,22.559129,78.810600,200805,9.710407,17.135598,9.710407,1
MOTOR_831,117.804719,228.626485,24.134833,79.587712,200805,2.288807,22.941427,74.651993,1
MOTOR_833,118.644338,223.875986,29.185840,80.908991,200805,18.545338,30.980821,76.579982,1
MOTOR_847,120.122482,222.743017,22.314513,80.732866,200805,28.090090,19.965038,73.817500,1
MOTOR_862,121.706371,226.778675,26.317319,78.425776,200805,3.517578,11.030772,81.456040,1
MOTOR_871,123.203638,221.651056,24.503542,80.453251,201003,11.411506,25.495224,27.894846,1
MOTOR_877,125.083921,221.167822,26.939792,79.774769,200706,3.123947,10.612240,75.997928,1
MOTOR_898,129.132156,222.411493,28.011637,79.013494,200805,18.775527,27.638700,38.075705,1
MOTOR_918,132.335103,224.917023,23.394798,79.572768,200805,11.938997,17.426597,11.938997,1
MOTOR_919,132.581472,223.262974,21.485552,80.979232,200805,24.664140,21.293115,24.664140,1
MOTOR_920,132.731996,222.586795,27.315339,78.585631,200805,2.662093,33.556421,91.876754,1
MOTOR_934,135.188159,221.124587,20.804638,80.684681,200805,23.766381,18.834931,23.766381,1
MOTOR_936,135.582924,226.186673,23.555217,79.076887,200805,11.751380,36.525092,57.827327,1
MOTOR_953,137.487572,221.694481,28.066229,78.801203,200805,1.178812,22.484428,86.446748,1
MOTOR_969,140.906676,227.050721,25.553178,79.863072,200810,26.368005,28.220945,57.375093,1
MOTOR_970,141.096531,226.137214,23.899970,80.011000,200805,12.685963,32.676828,70.496900,1
MOTOR_978,142.372176,220.518895,23.960589,80.435497,200805,25.901666,10.453872,79.925324,1
MOTOR_1018,148.805649,226.876932,20.126711,79.924687,200805,5.279208,36.349884,11.075875,1
MOTOR_1022,149.518884,228.712420,24.474610,85.322578,201003,23.182373,31.453928,46.626435,1
MOTOR_1034,151.019356,227.845257,23.588681,84.629763,200805,1.906895,20.484493,91.716693,1
MOTOR_1036,151.298629,225.946556,29.413469,73.468716,200911,25.282677,11.552876,25.282677,1
MOTOR_1038,151.486219,225.712402,24.270717,80.107064,200812,16.412022,33.152166,17.348295,1
