ID;Comment;Age;Gender;Music;Activity
1;I like the device a lot. Perfect;35-44;Female;Rock;Traveling
2;The battery power is great.The screen is hard to see when outside.;35-44;Male;Classical;Working
3;cost and sizedifficult software;25-34;Female;Rock;Other
4;Having all my CDs in the palm of my hand!Nothing, I love it!;35-44;Female;Folk;Traveling
5;The shuffle mode.Battery life seems shorter than advertised.;35-44;Male;Rock;Traveling
6;"Battery life. Portability. Accessories. Style.Ubiquitousness; everyone has one.";25-34;Male;Rock;Traveling
7;I like its ability to store all of my music. I also like the ability to create playlists.I wish the 40GB model was still available. I have a 20GB model and need more memory.;35-44;Male;Jazz;Relaxing
8;portability, capacity, sound quality, durabilityit doesn't have a light.;35-44;Male;Rock;Other
9;Small, great sound, capacity.Nothing. I love it.;25-34;Female;Rock;Traveling
10;Able to hold all of my songs in one place.It is in the shop due to a hardware failure.;35-44;Male;Rock;Relaxing
11;It's portable! I can take it anywhere.smudges on the display;45-54;Male;Jazz;Traveling
12;Living in my own little worldBattery life;35-44;Male;Rock;Traveling
13;mobilityTechnical difficulties setting it up initially and managing the library of songs on my PC.;35-44;Female;Other;Traveling
14;I like that Product A has a lot of storage. Also, the interface is very easy to use.It is a little heavy, and the battery life isn't long enough.;25-34;Female;Country;Working
15;It holds a ton of music.Battery life.;25-34;Male;Rock;Traveling
16;It's fun to usenothing;45-54;Female;R&B;Traveling
17;its coolbattery;35-44;Male;Rock;Traveling
18;lots of disk spaceit was very expensive;25-34;Female;Country;Traveling
19;Others think it is cool and it sounds great.I find the controls hard to use.;<18;Female;Rap;Working
20;lightweightso small afraid I'll lose it easily;45-54;Female;Rock;Other
21;easy to usesize;25-34;Female;Rock;Traveling
22;great accessorieshigh price;45-54;Male;Classical;Relaxing
23;i can listen to my music wherever i want. i also like that it is durable/dropable.i can't change the color of the outside. I wanted red.;25-34;Female;Rock;Traveling
24;supports standard for lossless compression which offers much higher fidelity.window scratches easily;>54;Female;Jazz;Traveling
25;very small and holds lots of songsdidn't come with a belt clip;18-24;Female;Country;Traveling
26;its great. i can share music with my friends and download tons of tunes off the internet.it is old now and big compared to the ones my friends have. i want a newer thinner one but i can't afford it.;18-24;Female;Rap;Relaxing
27;I can listen to the old Ludwig Van without anyone interfering with my activities.it is often mistaken for a cell phone.;25-34;Male;Rock;Working
28;It offers lots of disk space for all of my CDs.It is expensive.;18-24;Male;Rock;Traveling
29;Always having a good collection of music at handBattery life is limited;25-34;Male;Rock;Traveling
30;It's portable and the device is well-designed.You have to shut down the device by holding down the pause button. This isn't intuitive and doesn't work as smoothly as I would like. I'd prefer an old-fashioned on and off button.;25-34;Female;Rock;Traveling
31;Its portability enables me to listen to my music while I am milking cows and working in the fields.I think that it could be lighter and less expensive. And longer battery life.;>54;Female;Country;Traveling
32;it allows me to control all of my music.It's old.;35-44;Female;Other;Relaxing
33;It is better than having a lot of CDs in the car. I can hook this up to my stereo and get lots of tunes.Nothing.;45-54;Male;Rock;Traveling
34;The ability to build a playlist is the best feature. There are times I like to mix and match my selections.Transfering the music between devices can be time consuming.;45-54;Male;Rock;Traveling
35;small, easy to syncscratches easily;25-34;Female;Folk;Traveling
36;It has great sound quality. It also has capacity for all my music.The cost is the worst part. It makes it difficult to upgrade.;45-54;Male;Jazz;Traveling
37;holds lots of musicneeds a longer battery life;18-24;Male;Rock;Relaxing
38;batteries last a long timeThe buttons are small.;35-44;Female;Folk;Traveling
39;Easy to download music and runs a long time without recharging.Proprietary music format.;45-54;Male;Rock;Traveling
40;tunes everywherenothing, it's awesome;<18;Female;Rock;Studying
