Detail_de_commande;Numero_de_commande;Date;Type_de_mode_de_commande;﻿Cd_personnel_de_vente;Produit
6000001;600001;08/10/2012 00:00;Télécopieur;10470;Fer droit Omnium
6000002;600001;08/10/2012 00:00;Télécopieur;10470;Fer droit Herberase Extra
6000097;600007;08/10/2012 00:00;Visite d'un représentant;10005;Ensemble de bois Ouragan en titane
6000099;600007;08/10/2012 00:00;Visite d'un représentant;10005;Trousse de premiers soins compacte
6000100;600007;08/10/2012 00:00;Visite d'un représentant;10005;Lotion Zutinsect naturelle
6000101;600007;08/10/2012 00:00;Visite d'un représentant;10005;Abrisol 15
6000114;600008;08/10/2012 00:00;Télécopieur;10077;Montre multifonction Le Montagnard
6000125;600009;08/10/2012 00:00;Poste;10077;Gants Omnium
6000136;600010;08/10/2012 00:00;Télécopieur;10077;Ensemble de bois Ouragan en titane
6000147;600011;08/10/2012 00:00;Téléphone;10005;Gants Omnium
6000148;600011;08/10/2012 00:00;Téléphone;10005;Fer droit Omnium
6000149;600011;08/10/2012 00:00;Téléphone;10005;Fer droit Herberase Extra
6000160;600012;08/10/2012 00:00;Visite d'un représentant;10712;Vision Filtre
6000161;600012;08/10/2012 00:00;Visite d'un représentant;10712;Vision Sport
6000172;600013;08/10/2012 00:00;Téléphone;10470;Sac léger Morphée
6000173;600013;08/10/2012 00:00;Téléphone;10470;Mini Bellétoile
6000174;600013;08/10/2012 00:00;Téléphone;10470;Casseroles de luxe ChefDeCamp
6000185;600014;08/10/2012 00:00;Site Web;10470;Réchaud double ChefDeCamp
6000186;600014;08/10/2012 00:00;Site Web;10470;Ustensiles ChefDeCamp
6000198;600015;08/10/2012 00:00;Site Web;10470;Vision Sommet
6000199;600015;08/10/2012 00:00;Site Web;10470;Canif à deux lames
6000211;600016;08/10/2012 00:00;Visite d'un représentant;10470;Ensemble de bois Ouragan en acier
6000212;600016;08/10/2012 00:00;Visite d'un représentant;10470;Ensemble de bois Ouragan en titane -- pour dames
6000213;600016;08/10/2012 00:00;Visite d'un représentant;10470;Aérosol Zutinsect
6000214;600016;08/10/2012 00:00;Visite d'un représentant;10470;Abrisol en bâton
6000215;600016;08/10/2012 00:00;Visite d'un représentant;10470;Lanterne PermaLux à parois simples
