ID;What do you like most about this portable music player?;What do you like least about this portable music player?;Age;Gender;Music;Activity
1;little, light;expensive;25-34;Female;R&B;Working
3;cost and size;difficult software;25-34;Female;Rock;Other
8;portability, capacity, sound quality, durability;it doesn't have a light.;35-44;Male;Rock;Other
24;supports standard for lossless compression which offers much higher fidelity.;window scratches easily;>54;Female;Jazz;Traveling
32;it allows me to control all of my music.;It's old.;35-44;Female;Other;Relaxing
34;The ability to build a playlist is the best feature. There are times I like to mix and match my selections.;Transfering the music between devices can be time consuming.;45-54;Male;Rock;Traveling
49;It has some DJ features like building track list, cross fading, etc. It's very durable also. A friend dropped it once and it still works perfectly.;It was a bit expensive, but I think it was worth it.;25-34;Male;Other;Traveling
57;Drowns out train noise. Light and easy to carry and use, I don't have the patience to download music.;A little bulky and I have to remember to change my cds before I get sick of the music.;35-44;Female;Country;Traveling
75;Small size. It has 512Mb of add-on memory, so it is quick to load and play music. It can also encode directly from external devices from the radio or a CD player.;It would be nice if the hard disk capacity were larger. 5Gb would be a sufficent capacity, although I prefer not to sacirifice device size.;25-34;Male;Jazz;Traveling
78;sleek design;cost;25-34;Female;Rock;Traveling
83;It's small & fits in your pocket.;It doesn't hold many songs;25-34;Female;Other;Traveling
88;Easy to use. Has a big screen. Software is easy to use, organizes folders in trees so you can open to investigate or close to save space. 20 GB hard drive.;It's old and it's so big! Even though it's 20 GB, it's not big enough.;35-44;Female;Rap;Traveling
91;As well as being able to listen to music, can watch movies, surf internet, etc.;Barely any internal storage. I have to purchase seperate storage.;25-34;Female;Other;Traveling
92;Because it is also an organiser, I always carry it with me.;Small capacity, poor user interface for music;45-54;Male;Blues;Traveling
97;It's very small.;It's unintuitive menu system.;35-44;Male;Rock;Traveling
101;It's portable.;Nothing;45-54;Female;Other;Traveling
102;The size and the fact that it has an included FM radio;The battery life time;25-34;Male;Rock;Traveling
105;Small and easy to use;Could do with more storage;35-44;Male;Other;Traveling
107;It is portable.;The weight.;35-44;Male;Rock;Other
109;I can always bring it with me. The sound quality is very good.;Nothing;>54;Female;Folk;Other
112;Not a lot.  I hardly use it.;Very limited memory. Slow data speed. Poor battery life.;25-34;Male;Other;Traveling
115;It was a freebie!;Limited memory;35-44;Male;Folk;Relaxing
131;size;battery life;25-34;Female;Other;Relaxing
132;size;battery life;45-54;Male;Other;Other
134;The compact design;Having to recharge the battery;35-44;Female;R&B;Other
141;portability;low battery life;25-34;Male;Rock;Other
151;"This has 256MB of memory; it holds about 50 songs. I've got another chip in my bag with another 50 songs on it. The cool thing about this is, it cost $200 plus $60 for a portable keyboard, and I can run other programs, take notes, as well as listen to music. If I wanted to, I could surf the Web and get e-mail. For a while I even had music videos on it!";It's a little heavy. Also seems a bit delicate.;18-24;Male;Rock;Traveling
166;good sound quality;price;25-34;Male;Rock;Working
167;amount of tunes it holds;too expensive;35-44;Male;Blues;Traveling
176;Size. Weight. Simplicity. Connects directly to the laptop to download songs;There is no menu, so you cannot see what is playing. You can't select a particular track, only move forwards or backwards through the listing. I have no control over the listing other than the order they are copied to the memory.;35-44;Male;Other;Other
180;40gb;difficultly loading songs;35-44;Male;Folk;Traveling
189;It gives me time to collect my thoughts and escape some of the stress from the day.  While riding the train, it allows me to sit back and relax and transition to home life.;It doesn't have a lot of memory and holds only a small selection of songs.;35-44;Male;Rock;Traveling
202;It's analog;It's a bit clunky;35-44;Female;Jazz;Other
211;The sound;It's bulky;25-34;Male;Country;Other
219;It fits comfortably in the palm of my hand;The directions that came with it.;35-44;Female;Other;Other
225;that it is portable;storage limits;25-34;Male;Rock;Working
229;Well-made, good sound.;It falls off of the belt clip sometimes.;25-34;Male;Country;Relaxing
249;small, multi purpose, easy to use;battery life poor, small amount of memory, can't download from internet directly;18-24;Female;Rock;Other
252;we can use it everywhere;quality of headphone;35-44;Male;Rock;Traveling
255;It's multi-purpose. Also it's easy to change music. When plugged into the adapter, the memory card looks like another hard drive.;It uses up the internal batter pretty quickly. Not really a problem for me because I don't listen long at one sitting.;45-54;Male;Folk;Traveling
263;It's nice and small and fits into my handbag.;I have to have a handbag to carry it around.;35-44;Male;Other;Traveling
268;I like that I don't have to fiddle with software to download music. I can just drag my songs onto the memory card and plug it in.;The app for playing slongs that comes with the hardware is only so-so. But there are other players available that are really good.;45-54;Male;Rock;Traveling
274;Well being a long haul truck driver i really like the fact that there is always music to listen to and that i can turn up the volume real loud when my favorite song comes on.;It is too expensive.;>54;Male;Country;Traveling
277;size;battery life;45-54;Male;Other;Other
283;Discrete size.;Lack of storage.;35-44;Male;Other;Traveling
289;It's pink.;The display smudges easily.;25-34;Female;Rock;Other
292;its color;its size;>54;Male;Classical;Other
301;not as pricey as Product A;not as cool and not as easy to use as Product A.;35-44;Male;Country;Traveling
309;You can listen to anything!;nothing;25-34;Female;Blues;Relaxing
313;Its very light!;Pricey;45-54;Male;Classical;Traveling
314;large drive is key;sound quality;35-44;Male;Rock;Other
317;size;sound quality;25-34;Female;Other;Other
321;It's small and light, long battery life, good sound quality.;Slow upload times;25-34;Male;Other;Traveling
326;Its smaller and lighter than a personal cassette player.;It uses old technology;35-44;Male;R&B;Traveling
327;style;high cost;35-44;Female;Other;Other
328;portability;pricey;18-24;Female;Other;Other
330;It's part of my organizer so I don't have to carry too much hardware around.;Capacity;35-44;Male;Other;Traveling
331;Uses removable memory cards.;White color.;45-54;Male;Folk;Traveling
335;The size is best.;Cost.;25-34;Male;Blues;Other
354;stylish appearance;price and size;45-54;Male;Rock;Other
365;color options;costly;45-54;Male;Rock;Other
378;small, affordable;old technology;<18;Male;Rock;Traveling
379;it is compact;it is only 256MB;25-34;Male;Rock;Other
382;ease of use;cost;25-34;Female;Rock;Working
394;size and cost;It could be better designed;25-34;Male;Rock;Traveling
395;Built in radio;Sound quality;35-44;Male;Classical;Other
399;Very cheap with built-in radio and good battery life.;Nothing, I love it!;35-44;Male;Other;Traveling
404;decent price;too big;35-44;Female;Other;Traveling
4;Having all my CDs in the palm of my hand!;Nothing, I love it!;35-44;Female;Folk;Traveling
5;The shuffle mode.;Battery life seems shorter than advertised.;35-44;Male;Rock;Traveling
6;Battery life. Portability. Accessories. Style.;"Ubiquitousness; everyone has one.";25-34;Male;Rock;Traveling
7;I like its ability to store all of my music. I also like the ability to create playlists.;I wish the 40GB model was still available. I have a 20GB model and need more memory.;35-44;Male;Jazz;Relaxing
9;Small, great sound, capacity.;Nothing. I love it.;25-34;Female;Rock;Traveling
10;Able to hold all of my songs in one place.;It is in the shop due to a hardware failure.;35-44;Male;Rock;Relaxing
11;It's portable! I can take it anywhere.;smudges on the display;45-54;Male;Jazz;Traveling
12;Living in my own little world;Battery life;35-44;Male;Rock;Traveling
13;mobility;Technical difficulties setting it up initially and managing the library of songs on my PC.;35-44;Female;Other;Traveling
14;I like that Product A has a lot of storage. Also, the interface is very easy to use.;It is a little heavy, and the battery life isn't long enough.;25-34;Female;Country;Working
15;It holds a ton of music.;Battery life.;25-34;Male;Rock;Traveling
16;It's fun to use;nothing;45-54;Female;R&B;Traveling
17;its cool;battery;35-44;Male;Rock;Traveling
18;lots of disk space;it was very expensive;25-34;Female;Country;Traveling
20;lightweight;so small afraid I'll lose it easily;45-54;Female;Rock;Other
22;great accessories;high price;45-54;Male;Classical;Relaxing
23;i can listen to my music wherever i want. i also like that it is durable/dropable.;i can't change the color of the outside. I wanted red.;25-34;Female;Rock;Traveling
26;its great. i can share music with my friends and download tons of tunes off the internet.;it is old now and big compared to the ones my friends have. i want a newer thinner one but i can't afford it.;18-24;Female;Rap;Relaxing
27;I can listen to the old Ludwig Van without anyone interfering with my activities.;it is often mistaken for a cell phone.;25-34;Male;Rock;Working
28;It offers lots of disk space for all of my CDs.;It is expensive.;18-24;Male;Rock;Traveling
29;Always having a good collection of music at hand;Battery life is limited;25-34;Male;Rock;Traveling
30;It's portable and the device is well-designed.;You have to shut down the device by holding down the pause button. This isn't intuitive and doesn't work as smoothly as I would like. I'd prefer an old-fashioned on and off button.;25-34;Female;Rock;Traveling
33;It is better than having a lot of CDs in the car. I can hook this up to my stereo and get lots of tunes.;Nothing.;45-54;Male;Rock;Traveling
35;small, easy to sync;scratches easily;25-34;Female;Folk;Traveling
36;It has great sound quality. It also has capacity for all my music.;The cost is the worst part. It makes it difficult to upgrade.;45-54;Male;Jazz;Traveling
37;holds lots of music;needs a longer battery life;18-24;Male;Rock;Relaxing
39;Easy to download music and runs a long time without recharging.;Proprietary music format.;45-54;Male;Rock;Traveling
40;tunes everywhere;nothing, it's awesome;<18;Female;Rock;Studying
41;It's easy to use.;It's really easy to turn it on by accident and run the battery down.;25-34;Female;Jazz;Working
42;The interface is incredibly easy to use.;Compared to newer devices, the number of songs it can hold is quite small.;25-34;Male;Classical;Working
43;it holds many songs;uploading songs is too slow.;>54;Male;Classical;Relaxing
45;Everything!  Product A rules!  I can't wait to get a video one!;Nothing!  It is better than anything else out there!;18-24;Male;R&B;Traveling
46;Ability to carry large amounts of music in a small, lightweight device.;Cost;25-34;Female;Classical;Traveling
47;I was worried I was too old for this new fang-dangled technology. But my nephew showed me around the farm, as it were, and it's not as hard to use as I thought it would be.;It's so light, light as a feather, that I once accidently left it in my trousers and they both went into the wash!;45-54;Male;Blues;Traveling
48;ease of use;could be smaller like Product A;25-34;Male;Country;Relaxing
50;portability;battery life;25-34;Female;Rock;Relaxing
52;i have a Product A. i like the small size and good sound.;lack of a screen.;35-44;Male;Jazz;Traveling
53;Convenience;Nothing;35-44;Male;Folk;Traveling
54;The ability to take my CD collection and have it in one simple, small, portable device.;It was slightly confusing to set-up;18-24;Female;Rock;Traveling
55;I can store a lot of music on it.;It was rather expensive.;25-34;Female;Rock;Traveling
56;Small, light-weight, and easy to bring along.;Limited space for songs. Not expandable.;25-34;Female;Rock;Traveling
59;It allows me the freedom to listen to my favorite music or programs on my terms. Makes my commute enjoyable.;It has no radio.;25-34;Male;Rock;Traveling
60;Ability to carry a huge library of tunes aorund with me in something the size of a credit card.;Interface with my PC, which doesn't always work and which requires you be very careful to ensure you don't accidentally remove music from the device.;>54;Male;R&B;Traveling
62;Looks cool.;Can't rip songs from it.;25-34;Male;Other;Working
63;it keeps playing. i don't have to stop and change a CD.;nothing;18-24;Female;Other;Working
64;Portability and intuitive features of Product A;Loss of fidelity due to data compression;25-34;Female;Country;Relaxing
65;"Music choice; lack of skipping (vs. CD players)";Battery life is too short.;35-44;Female;Rock;Other
68;Large storage capacity;Expensive compared to other manufacturers;18-24;Female;Other;Relaxing
69;Stores 5000 songs in a compact portable player.;Low battery life;35-44;Male;Blues;Relaxing
70;small;hard to rearrange play list on the device;>54;Male;Folk;Traveling
71;Ease of use, simple functionality, elegant design and that it holds a lot of music and goes anywhere I do, headphones, car, home stero, portable speakers.;The screen;35-44;Male;Other;Traveling
73;its design is way cool;would be great if it was not so expensive;45-54;Female;Rock;Traveling
77;The software is very cool.;Battery;25-34;Male;Rock;Traveling
79;I like that I can build a bank of music that suits my tastes and cut out all of the songs that often come on Cds along with the one song you like;You can't use standard batteries in it;45-54;Female;Other;Other
82;Small, handy device;Too costly still;35-44;Male;Jazz;Traveling
84;It's just great. I have all my music downloaded onto it now, so no need to find the CD I want to play etc. Really great.;Too costly.;25-34;Male;Classical;Relaxing
85;Good quality sound, easy to carry;battery goes dead quite fast;35-44;Female;R&B;Traveling
87;Its great look and easy to use interface;Battery life is not as good as it should be;25-34;Female;Folk;Traveling
89;Small but lots of space (60 GB). Video is a bit of a toy but cool.;Software is not great. Can only view all songs, not close sections up so you can view just albums or artists. Can only order items alphabetically.;35-44;Female;Rap;Traveling
90;the colour and size;nothing;25-34;Female;Other;Traveling
93;It's a portable music device;Battery life. They're are better players on the market.;25-34;Male;Other;Traveling
95;It's beautiful.;Have to charge it.;45-54;Female;Classical;Relaxing
96;its tiny and can hold lots of songs and photos;It is too expensive.;<18;Female;Rock;Relaxing
99;stores 2 days worth of music;short battery life;35-44;Male;Rock;Relaxing
103;Its good looking and easy to use;battery life is appalling, also ear phones aren't very good;18-24;Male;Jazz;Traveling
104;Easy to organise my music files. Good battery life.;The distinctive earphones are a magnet for muggers.;25-34;Male;Rock;Traveling
106;Its so small and cute;Too many cables and things hanging around my ears;45-54;Male;Jazz;Traveling
108;It's well designed, light and very easy to use.;The battery life could be better;>54;Female;Blues;Relaxing
110;It's lightweight, the battery life is very good, cool design.;It sometimes freezes.;<18;Male;Blues;Relaxing
116;Ease of use. Looks good. Compatible with car stereo.;Was more expensive than other players.;25-34;Male;Other;Traveling
117;Listening to any songs I like any time I like.;The batteries.;35-44;Female;Blues;Traveling
118;I can listen to where ever I am, I don't have to worry about which Cd to take etc have all my music on it so listen to what I like when I like. Also I like the fact that I can plug it into speakers.;Takes time to upload music from CD's;25-34;Female;R&B;Traveling
119;It looks good and is very easy to use;Headphones hurt my ear after a while;25-34;Female;Rock;Traveling
123;It's sound;It's not also a phone;25-34;Male;Jazz;Traveling
124;size and accessories;controls not always easy to manage;25-34;Female;Rock;Relaxing
126;It's so easy to find the music I like.;earphones are a bit uncomfortable.;45-54;Female;Jazz;Traveling
128;It's small and holds all of my music.;Nothing;25-34;Female;Rock;Working
129;size;battery life;18-24;Female;Country;Traveling
130;Ease of use and portability.;Battery needs to be well-charged.;25-34;Female;Blues;Traveling
135;How easy it was to use;The headphones;<18;Male;Blues;Relaxing
139;I love it. I can listen to old heavy metal and new metal and alternative. Its batteries last for days.;Nothing!;18-24;Female;Other;Relaxing
140;Controls are easy to understand and use. It's a well-designed, well-built unit.;Battery life is not quite as advertized.;45-54;Male;Other;Traveling
142;Easy to carry, and its size.;Nothing as such.;25-34;Female;Other;Traveling
144;The size makes it convenient to carry around.;Don't have any complaints.;45-54;Female;Other;Relaxing
147;"I like the skip-free playback. Also, dragging and dropping songs. It's better than a ""real"" stereo.";Battery life is too low. 12 hours sounds like a lot but it is not.;18-24;Female;Rock;Other
148;The online store is great. Also, sound quality is excellent.;Four hour charge time too long.;<18;Male;Rap;Relaxing
149;My son bought it for me for my birthday. I feel pretty hip. I like to listen to Mozart when I'm gardening. I love it's light weight. And the design is so sleek!;Display is hard to read. My senior eyes need a bigger dispay.;>54;Male;Classical;Relaxing
153;Product A is fantastic. Really sharp design. Headphones are great too, not like the old in-the-ear types that always fell out. Sound quality seems good as well.;Don't like the company.;25-34;Male;Country;Relaxing
154;I like that it's light. I use it while commuting and when running. I really like the random play option.;Price;25-34;Female;Rock;Traveling
155;small size and ease of use;sometimes crashes;25-34;Female;Rock;Traveling
157;huge selection of music at my fingertips when traveling. like bringing your whole stereo with you;Compromise on the sound quality vs. a real CD;35-44;Male;Jazz;Traveling
158;I like that it's small and I can take it anywhere with me. Also that it holds so many songs. I currently have almost 500.;I think it's not intuitive the way it turns off. I just learned last week that you hold down the pause key to shut it off. I was just always letting it shut off on it's own which has probably wasted the battery. Also, I believe that once you wear out the battery (after recharging it for years and years) you need to replace the product.;35-44;Female;Rock;Other
161;Product A is the best. Drag & drop songs from their site is really easy and I love all the random play options. Like the long battery life.;Hard drive is too small;<18;Male;Jazz;Other
165;convience, size;plain looking;25-34;Female;Rock;Relaxing
168;it like has all of my songs. i mean all of them, and it still has room for like a gazillion more;i hate that i have to load all these song onto it, you would think that they could just put your music on for you.;25-34;Female;Rock;Traveling
169;Well obviously the portability. I love the fact that I can have all my CD collection on the one small device that I can take with me where ever I go. I also like the fact that the battery lasts so long which makes it great for those long plane flights. Its also very easy to copy music from CD to the device.;I am not a fan of the company.;35-44;Female;Rock;Traveling
172;it is portable and compact. No CDs required any longer;low battery;35-44;Female;Classical;Relaxing
173;user friendliness;Proprietary plugs and software.;25-34;Male;Rock;Traveling
174;practical and fancy!;nothing!;25-34;Male;Jazz;Traveling
175;music in a single place;not very reliable. battery is too low;>54;Male;Jazz;Relaxing
179;room for lots of songs, sleek design, software for managing the music on your PC is the best;battery life, incompatibility with some popular music formats;25-34;Male;Rock;Traveling
182;Quality sound;It's shape;>54;Male;Classical;Traveling
183;I can listen anywhere and I can plug into my speaker system. It is small and i can play music during dinner with friends without having a huge sound system in my dining room.;I wish it was silver so it would be even less conspicuous;25-34;Female;Jazz;Working
186;Great sound quality;nothing. its cool;35-44;Male;Rock;Traveling
188;The photo feature. I can see my slideshows on it.;It synchonizes with my computer very slowly.;>54;Female;Folk;Traveling
193;Ease of use, design;I only have a 4 gb. Should have gotten a bigger one.;35-44;Female;Country;Traveling
194;Capacity;Weight;35-44;Male;Classical;Traveling
196;Small;high price;<18;Male;Other;Studying
197;the sound quality is killer and it holds all of my CDs.;It needs a better protective case than the one provided with it. I'm always dropping it.;<18;Male;Rock;Other
199;The playlist feature so I can make my own playlists for our bashes.;Not enough room for all my music. I need a huge amount of space for all my tunes.;18-24;Male;Rap;Other
200;Its pretty green color.;The earbuds are uncomfortable.;25-34;Female;Jazz;Working
201;It rocks. I can download music from the internet.;I wish it had longer battery life.;18-24;Male;Other;Traveling
204;I can load all my favorites and never run out of music. Since it has so much space I can load new tunes without having to remove some of my previous music. I have my whole library of music with me at all times.;I wish I could have videos of my favorites along with my music.;25-34;Male;Country;Other
206;easy to transport all my music;not reliable. We have 4 and all of them had to be replaced;35-44;Male;Classical;Working
207;The design;Need to change batteries all the time.;>54;Female;Other;Other
214;It is reliable.;I want it to be smaller.;35-44;Male;Jazz;Relaxing
217;All of my music fits on it.;All of the necessary accessories do not come with it and they are very expensive.;45-54;Female;Folk;Working
218;capacity to hold a lot of music, ease of use, cool earbud;too expensive, sound quality could be better, color;>54;Male;Classical;Traveling
222;It is small and light so I forget I'm carrying it.;It broke the bank.;18-24;Male;Rap;Traveling
223;storage capacity;expensive;25-34;Female;Other;Traveling
226;its cool;nothing;<18;Male;Rap;Studying
227;It's small but holds lots of music;It was kind of expensive;35-44;Female;Rock;Traveling
228;large storage capacity;short battery time and long recharge time;25-34;Female;Rock;Traveling
230;I can wear it while I am exercising because it is so small.;The battery does not last very long anymore and I can't replace it.;45-54;Female;R&B;Other
231;It can hold all of my child's music. Where ever we are, when my son gets cranky, I can pull it out and in no time he is chilled out.;Its accessories cost an arm and a leg.;35-44;Female;Other;Traveling
233;It's small and light;The batteries don't last as long as I'd like;25-34;Female;Jazz;Traveling
238;Style and ease of use;Battery and tends to scratch easily;25-34;Female;R&B;Traveling
239;small size and large capacity;short time between recharges;35-44;Male;Rock;Relaxing
240;headphones are good lost of songs;battery is lousy;<18;Male;Rock;Studying
243;Its size.;The cost.;35-44;Male;Rock;Traveling
244;it is easy to use and I like the look of it.;it is quite expensive to buy;25-34;Male;Rock;Traveling
246;It holds lots of songs;Its so small, I can never find it;<18;Female;Blues;Relaxing
247;it's blue;want a newer one;18-24;Male;Blues;Studying
250;small enough to use anywhere;poor quality headphones;>54;Male;Classical;Studying
251;incredibly small;it's already full;25-34;Female;Country;Relaxing
254;Nothing special. It does everything well.;The color.;35-44;Male;Rock;Other
256;looks nice;absence of radio;35-44;Female;Blues;Traveling
260;I find it very convenient and simple to use.;"It seems slightly unreliable; I think it is a bit buggy.";35-44;Male;Classical;Relaxing
261;Easy to use and my alternative rock songs sound awesome on it!;Battery life.;25-34;Female;Rock;Working
262;How many songs it holds;"Disconnecting it from the PC. It always has a ""do not disconnect"" message & I have to manually disconnect the setting.";35-44;Female;Country;Working
264;Been using a portable cassette player, but it finally broke. Product A seemed to be the brand to get. I like that they're really light weight. Also, it's easier to skip around from song to song than it is with a tape.;Learning how to download songs was odd and I'm still not crazy about the interface.;45-54;Male;Blues;Relaxing
267;It changes the relationship you have with your music. I've been listening to music a long time and that never happened with cds, tapes, or vinyl.;Maybe it trivializes the music a bit too much.;25-34;Male;Rock;Traveling
269;I can put a lot of music on it and it's cool looking;nothing;18-24;Female;R&B;Other
271;I like that I can listen to my music when I'm at the gym and not have to worry about switching CD's or the CD skipping.;I don't like the headphones that came with the device. They hurt my ears. I had to buy a new pair that were comfortable.;25-34;Female;Rock;Other
272;Creating custom playlists, listening to comedy clips downloaded from the Web;Poor video quality, not compatible with other audio formats;25-34;Male;Rock;Traveling
276;I like that it's easily portable and that I can take it with me while I'm working at my local coffee shop.;I wish the battery life was longer. I find that I have to recharge the device often.;25-34;Female;Classical;Other
278;I like that I can easily carry a variety of music with me. The new broadcast feature is also great.;Their website makes it difficult for me to download tunes.;25-34;Female;Rock;Working
279;lots of storage, ability to store all of my music in one place, listening to books, playlists;heavy;35-44;Female;Country;Traveling
280;The number of songs I can store on it.;Battery runs down quickly.;25-34;Female;Rock;Traveling
285;small;I don't like the volume control;25-34;Female;Other;Traveling
286;I can buy just the songs I want on their site.;I wish the battery lasted longer;<18;Male;Rock;Traveling
287;the memory;nothing;25-34;Female;Rock;Traveling
290;little size, great capacity;nothing;25-34;Female;R&B;Traveling
291;holds lots of songs, can tell which album and song is playing, and by which artist;slippery so you need to buy all sorts of holders and a protective case;25-34;Female;Rock;Traveling
293;The smallest, most reliable, best product ever on the market.;I can't find it sometimes because it's so small!;25-34;Male;Rock;Traveling
295;hand-sized portable;nothing;25-34;Female;R&B;Working
296;Design and simplicity;The case gets scuffed up far too easily;25-34;Male;Classical;Traveling
297;its stylin';everyone has one;25-34;Male;Other;Working
299;it holds loads of songs and is easy to use;battery life could be better;25-34;Male;Blues;Relaxing
305;Ease of use, bug free;There are too many new product updates. Would be good if you could see what the next song in your playlist is.;25-34;Male;Other;Traveling
306;Quite stylish and easy to use.;Battery life is terrible. It's too heavy and too unreliable.;35-44;Male;Folk;Traveling
307;I love how it is so small. I also like the games I can play;I wish it came in pink.;>54;Female;Folk;Traveling
310;the colour of the device;i don't like that you need a case to stop the screen from becoming scratched.;45-54;Male;Blues;Working
312;Good quality of sound;Colour;25-34;Female;Rock;Traveling
315;Small size, amount of storage, colour, style and design;Battery power is not very good;18-24;Female;Rock;Traveling
316;it portable;not able to transfer music from Product A;25-34;Female;Rock;Traveling
319;I finally caved in after seeing all the commericals and seeing people on the train with Product A. It does look sleek.;Controls are too small. Geared for younger people with better eyes.;25-34;Male;Rock;Traveling
322;the size;earphone quality;35-44;Female;Jazz;Traveling
323;Hats off (again). Every time they upgrade I buy the lastest (and give my old one to friends or sell online). The latest version with video and photo capability is amazing. Plus it's lighter and thinner and holds like 15,000 songs. For me though, having access to tunes on the web makes all the difference. It's the best source for digital music hands down.;Nothing.;25-34;Male;Rock;Other
324;form, function, memory, ease of use;durability;35-44;Male;Rock;Other
325;it looks beautiful and it is easy to use.;soemtimes i lose the songs because i have not set up the play list correctly;35-44;Female;Rock;Relaxing
